LCS_Process_ID,Life_cycle_stage,Process_name,Region,Dataset_name,Unit_of_measure,Data_source,UUID,TeR,GR,TiR,P,PEF_DQR
BOM - Apparel,LCS1,PTFE,Europe,"Polytetrafluoroethylene (PTFE) granulate {EU+EFTA+UK} | polymerisation of tetrafluorethylene | production mix, at plant | 2.16 g/cm3 | LCI result",kg,EF Database 3.1,9be560cc-6400-488c-bba0-ea46d162eb8b,"  2,00 ","  2,00 ","  2,00 ","  2,00 ","  2,00 "
Yarn production - Apparel,LCS2,"Combing, flax",Europe,"Combing {GLO} | technology mix | production mix, at plant | service (raw materials excluded) | LCI result",kg,EF Database 3.1,9e5c2783-4e70-556a-a5c9-aca3c830a2a6,"  1,00 ","  1,61 ","  1,00 ","  2,00 ","  1,40 "
BOM - Apparel,LCS1,"wool_virgin",GLO,"Wool {GLO} | sheep | production mix, at farm | 1 kg wool | LCI result",kg,EF Database 3.1,a0ce3e1d-48a9-5d29-9802-c5d3881ffd22,"  1,26 ","  1,26 ","  1,00 ","  3,00 ","  1,63 "
BOM - Apparel,LCS1,Silk,GLO,"Silk {GLO} | drying, immersion, brushing, reeling | production mix, at plant | 1 kg | LCI result",kg,EF Database 3.1,a2e6c77c-42c4-5b27-8254-d11e53d66a89,"  2,00 ","  2,00 ","  1,00 ","  2,00 ","  1,75 "
BOM - Apparel,LCS1,"Leather, cattle, chrome tanned (wet-blue)",GLO,"Leather, cattle, chrome tanned (wet-blue) {GLO} | technology mix | production mix, at tannery | m2 | LCI result",m2,EF Database 3.1,a49d6dce-4f61-51a6-bcec-bc86e9312056,"  1,41 ","  1,41 ","  1,65 ","  2,00 ","  1,62 "
Component manufacturing - Footwear,LCS2,Delasting,GLO,"Delasting {GLO} | delasting process | production mix, at plant | service of delasting 1 pair of shoes | LCI result",p,EF Database 3.1,ae29f020-906c-5ded-a946-d2e79f14ea5d,"  1,61 ","  1,61 ","  1,00 ","  2,00 ","  1,56 "
Washing - both,LCS4,"Washing, 40°, average",Europe,"Washing, 40 degrees C, average {EU+EFTA+UK} | washing, warm water | production mix, at plant | service | LCI result",kg,EF Database 3.1,ae46be13-3830-5af9-9e21-875793e94c88,"  1,70 ","  1,70 ","  1,20 ","  2,00 ","  1,65 "
Yarn production - Apparel,LCS2,"Spinning, for knit, ring-spun",GLO,"Spinning, for knit, ring-spun {GLO} | spinning process | production mix | service of spinning 1kg of yarn (raw material excluded) | LCI result",kg,EF Database 3.1,b0fa7ec9-618b-5a92-8679-67685af42400,"  1,00 ","  1,61 ","  1,00 ","  2,00 ","  1,40 "
Primary packaging - footwear,LCS1,Kraft paper,Europe,"Kraft paper {EU+EFTA+UK} | technology mix | production mix, at plant | kg | LCI result",kg,EF Database 3.1,b150ff20-ba72-5711-89b6-17d0dad0c7a2,"  1,07 ","  1,07 ","  1,88 ","  1,04 ","  1,27 "
End-of-life for intermediate product packaging,LCS2,"Incineration, cardboard",Europe,"Waste incineration of paper and board {EU+EFTA+UK} | waste-to-energy plant with dry flue gas treatment, including transport and pre-treatment | production mix, at consumer | paper waste | LCI result",kg,EF Database 3.1,b6ce954d-deb4-4c16-907a-c67b71e1e862,"  2,00 ","  1,00 ","  1,00 ","  2,00 ","  1,50 "
Assembly - Apparel,LCS2,Sewing,GLO,"Sewing {GLO} | technology mix | production mix, at plant | service including thread | LCI result",kg,EF Database 3.1,ba493f57-af47-56ae-afea-5179cbf61c99,"  1,28 ","  1,84 ","  1,30 ","  2,00 ","  1,61 "
Dyeing - Apparel,LCS2,"Pre-dye preparation (scouring, etc), knit textile, natural fibers",GLO,"Pre-dye preparation (scouring, etc), knit textile, natural fibers {GLO} | Pre-treatment | production mix, at plant | textile service | LCI result",kg,EF Database 3.1,bbdef578-257d-5920-b3e7-d954b8a9f714,"  2,10 ","  2,10 ","  1,50 ","  1,00 ","  1,68 "
BOM - Footwear,LCS1,Steel,GLO,"Stainless steel hot rolled {RoW} | hot rolling | production mix, at plant | stainless steel | LCI result",kg,EF Database 3.1,bd2602fa-abc7-4a57-b3f9-d6a012d29b1e,"  2,00 ","  2,00 ","  3,00 ","  2,00 ","  2,25 "
End-of-life for intermediate product packaging,LCS2,"Virgin, cardboard",Europe,"Cardboard, production mix, at plant {GLO} | Kraft Pulping Process | production mix, at plant | 180- 300 kg/m3 | LCI result",kg,EF Database 3.1,be844122-c9d9-4691-b5ef-52316d1d563d,"  3,00 ","  3,00 ","  2,00 ","  2,00 ","  2,50 "
Component manufacturing - Footwear,LCS2,"Lamination, water based glue",GLO,"Lamination, water based glue {GLO} | lamination process | average service, at plant | 1 kg of water based glue laminated fabric | LCI result",kg,EF Database 3.1,c132da37-2fa6-5f23-8a2b-165f5d9436a5,"  1,10 ","  1,66 ","  1,00 ","  1,13 ","  1,22 "
BOM - Apparel,LCS1,Cashmere,GLO,Cashmere fiber {GLO} | raw | production mix | LCI result,kg,EF Database 3.1,c2492c46-104d-5192-b119-5fc70abf64cd,"  1,85 ","  1,85 ","  1,00 ","  2,00 ","  1,68 "
Product assembly - Footwear,LCS2,Stockfitting,GLO,"Stockfitting {GLO} | stock fitting process | production mix, at plant | service | LCI result",p,EF Database 3.1,c2655829-05de-5398-a20f-245cd5fabdfb,"  1,87 ","  1,88 ","  1,00 ","  1,87 ","  1,66 "
Ironing - Apparel,LCS4,"Ironing, average, 1 minute",Europe,"Ironing, average, 1 minute {EU+EFTA+UK} | technology mix | production mix, at plant | service | LCI result",kg,EF Database 3.1,c5459a8f-21e8-53fc-987c-eed7f5debf43,"  1,00 ","  1,00 ","  1,00 ","  2,00 ","  1,25 "
BOM - Apparel,LCS1,Viscose fibre,GLO,"Viscose fibre {GLO} | virgin production from hardwood sulphite pulp | production mix, at plant | 1kg of product | LCI result",kg,EF Database 3.1,cf866b79-bc7d-58fc-a373-9a28531c91a9,"  2,15 ","  2,15 ","  1,03 ","  2,00 ","  1,83 "
Fabric manufacturing - Apparel,LCS2,"Knitting, flat",GLO,"Knitting, flat {GLO} | knitting process | production, at plant | service of knitting fabric | LCI result",kg,EF Database 3.1,d05845fb-944f-530a-9df1-aa81cd6bdc1d,"  1,00 ","  1,61 ","  1,00 ","  2,00 ","  1,40 "
Primary packaging - apparel,LCS1,Cardboard,Europe,"Carton board {EU+EFTA+UK} | Kraft Pulping Process, pulp pressing and drying, box manufacturing | production mix, at plant | 280 g/m2 | LCI result",kg,EF Database 3.1,d05c4b39-2e68-43bb-9875-fba8fd1333a6,"  2,00 ","  2,00 ","  2,00 ","  2,00 ","  2,00 "
BOM - Apparel,LCS1,"Leather, veal/calf, chrome tanned (wet-blue)",GLO,"Leather, veal/calf, chrome tanned (wet-blue) {GLO} | technology mix | production mix, at tannery | m2 | LCI result",m2,EF Database 3.1,d16e1790-7d19-58eb-a2c6-123cf1781ee5,"  1,57 ","  1,57 ","  1,59 ","  2,00 ","  1,68 "
Primary packaging - apparel,LCS1,"Paper sack, Kraft",Europe,"Paper sack {EU+EFTA+UK} | Kraft Pulping Process, pulp pressing and drying | production mix, at plant | Kraft Sack Paper | LCI result",kg,EF Database 3.1,d262e73e-701c-404e-8398-e73dd4e795c9,"  2,00 ","  2,00 ","  3,00 ","  2,00 ","  2,25 "
Primary packaging - apparel,LCS1,Polybag,GLO,"Plastic bag, LDPE {EU+EFTA+UK} | raw material production, plastic extrusion | production mix, at plant | thickness: 0.03 mm, grammage: 0.0275 kg/m2 | LCI result",m2,EF Database 3.1,d53d7b71-871e-45ac-8268-81f822514f0a,"  2,00 ","  2,00 ","  2,00 ","  2,00 ","  2,00 "
